"","name","img","condicion","bancada","partido","circuncripcion","representante_de","estado","suplente","estado_legal_principal","estado_legal_suplente"
"1","Addy Coromoto Valero Velandria","http://www.asambleanacional.gob.ve/avatares/addy-coromoto-valero-velandria-188.jpg","Principal","MUD","AD","2","Mp. Andres Bello, Mp. Caracciolo Parra, Mp. Justo Brice#o, Mp. Miranda, Mp. Pueblo Llano, Mp. Rangel","Mérida","Mildred Janet Carrero Paredes","no imposibilitado","no imposibilitado"
"2","Adriana María D'elia Briceno","http://www.asambleanacional.gob.ve/avatares/adriana-maria-d39elia-bricenacuteo-351.jpg","Principal","MUD","PJ","4","Mp. Plaza, Mp. Zamora, Pq. Caucaguita, Pq. Filas De Mariches, Pq. La Dolorita","Miranda","Manuel Jose Teixeira Abreu","exilio","no imposibilitado"
"3","Adolfo Ramon Superlano","http://www.asambleanacional.gob.ve/avatares/adolfo-ramon-superlano-292.jpg","Principal","CONCERTACION","CMC","1","Ce. Barinas, Mp. Alberto Arvelo T, Mp. Arismendi, Mp. Obispos, Pq. Dolores, Pq. Libertad, Pq. Palaci","Barinas","Sandra Lizbeth Flores Marquez","no imposibilitado",""
"4","Alfonso Jose Marquina Díaz","http://www.asambleanacional.gob.ve/avatares/alfonso-jose-marquina-diaz-91.jpg","Principal","MUD","PJ","3","Mp. Palavecino, Mp. Simon Planas, Pq. Catedral, Pq. Santa Rosa","Lara","Juan Bautista Vilera Del Corral","no imposibilitado",""
"5","Américo Giuseppe De Grazia Veltri","http://www.asambleanacional.gob.ve/avatares/americo-giuseppe-de-grazia-veltri-244.jpg","Principal","MUD","LCR","3","Mp. Blvno Angostura, Mp. El Callao, Mp. Gran Sabana, Mp. Piar, Mp. Roscio, Mp. Sifontes, Mp.padre Pe","Bolívar","Manuel Gonzalez Marrero","asilo","no imposibilitado"
"6","Amelia Geraldine Belisario Socorro","http://www.asambleanacional.gob.ve/avatares/amelia-geraldine-belisario-socorro-20.jpg","Principal","MUD","idependiente","2","Mp. Jose Angel Lamas, Mp. Libertador, Mp. Santiago Mariño, Mp.francisco Linares","Aragua","Jose Gregorio Hernandez Obregon","no imposibilitado","no imposibilitado"
"7","Andrés Eloy Camejo Espinoza","http://www.asambleanacional.gob.ve/avatares/andres-eloy-camejo-espinoza-289.jpg","Principal","MUD","AD","2","Mp. A Jose De Sucre, Mp. Andres E. Blanco, Mp. Bolivar, Mp. Cruz Paredes, Mp. Ezequiel Zamora, Mp. P","Barinas","Cesar Augusto Cadenas Roa","no imposibilitado",""
"8","Angel Antonio Medina Devis","http://www.asambleanacional.gob.ve/avatares/angel-antonio-medina-devis-255.jpg","Principal","MUD","PJ","lista","undefined","Bolívar","Rachid Yasbek Valdez","no imposibilitado",""
"9","Angel Luis Alvarez Gil","http://www.asambleanacional.gob.ve/avatares/angel-luis-alvarez-gil-74.jpg","Principal","MUD","VP","3","Naguanagua, Mp. San Diego, Pq. Candelaria, Pq. Catedral, Pq. El Socorro, Pq. San Blas, Pq. San Jose","Carabobo","María Concepción Mulino De Saavedra","no imposibilitado","no imposibilitado"
"10","Antonio Troconiz Avilio","http://www.asambleanacional.gob.ve/avatares/antonio-troconiz-avilio-198.jpg","Principal","MUD","PJ","2","Mp. Jesus E Lossada, Mp. La Ca#ada De U","Zulia","Dianela Parra De Avila","no imposibilitado",""
"11","Armando Armas Cuartin","http://www.asambleanacional.gob.ve/avatares/armando-armas-cuartin-175.jpg","Principal","MUD","VP","4","Mp. Guanta, Mp. L/diego Bautista, Mp. Sotillo","Anzoátegui","Jesús Omar González Moreno","no imposibilitado","no imposibilitado"
"12","Biagio Pilieri Gianninoto","http://www.asambleanacional.gob.ve/avatares/biagio-pilieri-gianninoto-269.jpg","Principal","16-J","Convergencia","lista","undefined","Yaracuy","Jesus Gabriel Pena Navas","no imposibilitado",""
"13","Bolivia Milagros Suárez Lucena","http://www.asambleanacional.gob.ve/avatares/bolivia-milagros-suarez-lucena-92.jpg","Principal","MUD","LCR","1","Pq. Juarez, Pq. La Concepcion, Pq. Union, Pq. El Cuji, Pq. Tamaca, Pq. Juan De Villegas, Pq. Aguedo","Lara","Daniel Armando Antequera Zubillaga","no imposibilitado","no imposibilitado"
"14","Carlos Alberto Lozano Parra","http://www.asambleanacional.gob.ve/avatares/carlos-alberto-lozano-parra-72.jpg","Principal","MUD","CAMINA","5","Libertador, Pq. Miguel Peña, Pq. Santa Rosa, Pq. Rafael Urdaneta, Pq. Negro Primero","Carabobo","Leandro Jose Dominguez Baez","no imposibilitado",""
"15","Carlos Alberto Paparoni Ramirez","http://www.asambleanacional.gob.ve/avatares/carlos-alberto-paparoni-ramirez-189.jpg","Principal","MUD","PJ","4","Mp. Aricagua, Mp. Arzobispo Chacon, Mp. Campo Elias, Mp. Guaraque, Mp. Padre Noguera, Mp. Rivas Davi","Mérida","Carmen Maria Sivoli Barrios","clandestinidad",""
"16","Carlos Andres Gonzalez Salinas","http://www.asambleanacional.gob.ve/avatares/carlos-andres-gonzalez-salinas-36.jpg","Principal","MUD","AD","lista","undefined","Trujillo","Emilio Antonio Fajardo Linares","no imposibilitado",""
"17","Carlos Andres Michelangeli Armas","http://www.asambleanacional.gob.ve/avatares/carlos-andres-michelangeli-armas-171.jpg","Principal","MUD","AD","3","Ce. Bolivar, Mp. Peñalver, Mp. Piritu","Anzoátegui","Yajaira Josefina Castro Briceno","no imposibilitado",""
"18","Carlos Eduardo Berrizbeitia Giliberti","http://www.asambleanacional.gob.ve/avatares/carlos-eduardo-berrizbeitia-giliberti-77.jpg","Principal","MUD","PRVZL","lista","undefined","Carabobo","Antonio Jose Ecarri Bolivar","no imposibilitado",""
"19","Carlos Modesto Prosperi Manuitt","http://www.asambleanacional.gob.ve/avatares/carlos-modesto-prosperi-manuitt-142.jpg","Principal","MUD","AD","lista","undefined","Guárico","Bibiana Geanine Lucas Freitas","no imposibilitado",""
"20","Chaim Jose Bucarán Paraguan","http://www.asambleanacional.gob.ve/avatares/chaim-jose-bucaran-paraguan-176.jpg","Principal","MUD","PROCIUDADANO","2","Mp. Anaco, Mp. Aragua, Mp. Bruzual, Mp. Cajigal, Mp. Carvajal, Mp. Libertad, Mp. Mc Gregor, Mp. Sant","Anzoátegui","Tatiana Montiel De Elneser","no imposibilitado",""
"21","Conrado Antonio Perez Linares","http://www.asambleanacional.gob.ve/avatares/conrado-antonio-perez-linares-37.jpg","Principal","MUD","PJ","2","Mp. Escuque, Mp. Motatan, Mp. Rafael Rangel, Mp. Urdaneta, Mp. Valera, Mp.s Rafael Carvajal","Trujillo","Joaquin Eduardo Aguilar Villasmil","no imposibilitado",""
"22","D'lsa Jenniffer Solórzano Bernal","http://www.asambleanacional.gob.ve/avatares/d39lsa-jenniffer-solorzano-bernal-114.jpg","Principal","MUD","EC","1","Mp.guaicaipuro, Mp. Carrizal, Mp. Los Salias","Miranda","Jeesús Mark Yánez Morales","no imposibilitado",""
"23","Dennis Yuramis Fernández Solórzano","http://www.asambleanacional.gob.ve/avatares/dennis-yuramis-fernandez-solorzano-352.jpg","Principal","MUD","AD","lista","undefined","Cojedes","Jose Gregorio Correa","no imposibilitado",""
"24","Dinorah Jaxilda Figuera Tovar","http://www.asambleanacional.gob.ve/avatares/dinorah-jaxilda-figuera-tovar-19.jpg","Principal","MUD","PJ","lista","undefined","Aragua","Gilberto Sojo Rengifo","exilio","no imposibilitado"
"25","Elias Matta Wehbe","http://www.asambleanacional.gob.ve/avatares/elias-matta-wehbe-200.jpg","Principal","MUD","UNT","6","Pq. Bolivar, Pq. Raul Leoni, Pq. Chiquinquira, Pq. Santa Lucia, Pq.caracciolo Parra Perez","Zulia","Rafael Arturo Ramírez Colina","no imposibilitado",""
"26","Edgar José Zambrano Ramírez","http://www.asambleanacional.gob.ve/avatares/edgar-jose-zambrano-ramirez-99.jpg","Principal","MUD","AD","lista","undefined","Lara","Guillermo Antonio Palacios Castillo","no imposibilitado","no imposibilitado"
"27","Eliezer Ramón Sirit","http://www.asambleanacional.gob.ve/avatares/eliezer-ramon-sirit-229.jpg","Principal","MUD","AD","3","Miranda, Mp. Falcon","Falcón","Julio Cesar Moreno Rangel","no imposibilitado",""
"28","Elimar Carolina Diaz Garcia","http://www.asambleanacional.gob.ve/avatares/elimar-carolina-diaz-garcia-208.jpg","Principal","MUD","PJ","4","Pq. Venancio Pulgar, Pq. Antonio Borjas Romero, Pq. Idelfonzo Vasquez","Zulia","Jairo Antonio Bao Barrientos","no imposibilitado",""
"29","Enrique Márquez","http://www.asambleanacional.gob.ve/avatares/enrique-marquez-334.jpg","Principal","MUD","UNT","lista","undefined","Zulia","Marianela Fernandez Alvarado","no imposibilitado",""
"30","Ezequiel Eligio Pérez Roa","http://www.asambleanacional.gob.ve/avatares/ezequiel-eligio-perez-roa-4.jpg","Principal","MUD","AD","lista","undefined","Tachira","Eduardo Jose Marín Carvajal","no imposibilitado",""
"31","Francisco Jose Sucre Giffuni","http://www.asambleanacional.gob.ve/avatares/francisco-jose-sucre-giffuni-243.jpg","Principal","MUD","VP","2","Pq. Simon Bolivar, Pq. Pozo Verde, Pq. Once De Abril, Pq. Vista Al Sol, Pq. Chirica, Pq. Dalla Costa","Bolívar","Ligia Marina Delfin Valencia","no imposibilitado","no imposibilitado"
"32","Franklyn Leonardo Duarte","http://www.asambleanacional.gob.ve/avatares/franklyn-leonardo-duarte-11.jpg","Principal","MUD","COPEI","1","Mp. Bolivar, Mp. Independencia, Mp. Junin, Mp. Libertad, Mp. Rafael Urdaneta, Mp.pedro María Ureña","Tachira","undefined","no imposibilitado",""
"33","Freddy Alejandro Guevara Cortez","http://www.asambleanacional.gob.ve/avatares/freddy-alejandro-guevara-cortez-113.jpg","Principal","MUD","VP","2","Mp. Baruta, Mp. Chacao, Mp. El Hatillo, Pq. Leoncio Martinez","Miranda","Juan Andres Mejia Szilard","asilo","exilio"
"34","Freddy Francisco Superlano Salinas","http://www.asambleanacional.gob.ve/avatares/freddy-francisco-superlano-salinas-291.jpg","Principal","MUD","VP","1","Ce. Barinas, Mp. Alberto Arvelo T, Mp. Arismendi, Mp. Obispos, Pq. Dolores, Pq. Libertad, Pq. Palaci","Barinas","Linconl Marcotulio Perez","exilio",""
"35","Freddy Segundo Paz Mendoza","http://www.asambleanacional.gob.ve/avatares/freddy-segundo-paz-mendoza-199.jpg","Principal","MUD","UNT","12","Mp. Catatumbo, Mp. Colon, Mp. Sucre, Pq. Simon Rodriguez, Pq. Carlos Quevedo, Pq. Francisco J Pulgar","Zulia","Gilmar Daligio Marquez Criollo","no imposibilitado","no imposibilitado"
"36","Freddy Rafael Valera Medina","http://www.asambleanacional.gob.ve/avatares/freddy-rafael-valera-medina-245.jpg","Principal","MUD","AD","2","Pq. Simon Bolivar, Pq. Pozo Verde, Pq. Once De Abril, Pq. Vista Al Sol, Pq. Chirica, Pq. Dalla Costa","Bolívar","Jose Ricardo Salazar Gamboa","no imposibilitado",""
"37","Gaby Andreina Arellano","http://www.asambleanacional.gob.ve/avatares/gaby-andreina-arellano-7.jpg","Principal","MUD","VP","2","Mp. Andres Bello, Mp. Ayacucho, Mp. Guasimos, Mp. Jose Maria Varga, Mp. Lobatera, Mp. Michelena, Mp.","Tachira","Renzo David Prieto Ramirez","exilio","no imposibilitado"
"38","Gian Luis Lippa Preziosi","http://www.asambleanacional.gob.ve/avatares/gian-luis-lippa-preziosi-278.jpg","Principal","MUD","PJ","lista","undefined","Apure","Julio César Montoya Medero","no imposibilitado",""
"39","Gladys Guaipo De García","http://www.asambleanacional.gob.ve/avatares/gladys-guaipo-de-garcia-318.jpg","Principal","MUD","AD","Occidental","","Representación Indígena","Yulibert Guacarán De Robles","no imposibilitado","no imposibilitado"
"40","Goncalves Ylidio De Abreu","http://www.asambleanacional.gob.ve/avatares/goncalves-ylidio-de-abreu-71.jpg","Principal","MUD","UNT","1","Puerto Cabello, Juan José Mora, Montalbán Y Bejuma","Carabobo","Yolanda Tortolero Martínez","no imposibilitado",""
"41","Gregorio Segundo Graterol Roque","http://www.asambleanacional.gob.ve/avatares/gregorio-segundo-graterol-roque-230.jpg","Principal","MUD","PJ","lista","undefined","Falcón","Mabelly Josefina Soto Rosa De Leon","no imposibilitado",""
"42","Héctor Enrique Cordero Rodríguez","http://www.asambleanacional.gob.ve/avatares/hector-enrique-cordero-rodriguez-179.jpg","Principal","MUD","UNT","1","Mp. Freites, Mp. Guanipa, Mp. Independencia, Mp. Miranda, Mp. Monagas, Mp. Simon Rodriguez","Anzoátegui","undefined","no imposibilitado",""
"43","Henry Lisandro Ramos Allup","http://www.asambleanacional.gob.ve/avatares/henry-lisandro-ramos-allup-53.jpg","Principal","MUD","AD","3","Pq. El Recreo, Pq. Candelaria, Pq. San Pedro, Pq. San Bernardino, Pq. San Agustin, Pq. San Jose","Distrito Capital","Ramón José López Colina","no imposibilitado","exilio"
"44","Hernan Claret Aleman Perez","http://www.asambleanacional.gob.ve/avatares/hernan-claret-aleman-perez-202.jpg","Principal","MUD","AD","10","Mp. Cabimas, Mp. Miranda, Mp. Santa Rita","Zulia","Hector Ramon Vargas Torres","no imposibilitado","no imposibilitado"
"45","Ismael Garcia","http://www.asambleanacional.gob.ve/avatares/ismael-garcia-26.jpg","Principal","MUD","VP","1","Ce. Girardot, Mp. Mario B Iragorry, Mp.ocumare D L Costa","Aragua","Guillermo Antonio Luces Osorio","exilio","no imposibilitado"
"46","Iván Stalin González Montano","http://www.asambleanacional.gob.ve/avatares/ivan-stalin-gonzalez-montanacuteo-60.jpg","Principal","MUD","UNT","5","Pq. Antimano, Pq. La Vega, Pq. Macarao, Pq. Caricuao, Pq. El Paraiso","Distrito Capital","Ivlev Jesus Silva Malave","no imposibilitado",""
"47","Jesus Alexis Paparoni Duran","http://www.asambleanacional.gob.ve/avatares/jesus-alexis-paparoni-duran-187.jpg","Principal","MUD","UNT","1","Mp. Alberto Adriani, Mp. Antonio Pinto S., Mp. Tovar, Mp. Zea","Mérida","Mary Mora Morales","no imposibilitado",""
"48","Jony Rahal Khouri","http://www.asambleanacional.gob.ve/avatares/jony-rahal-khouri-162.jpg","Principal","MUD","PJ","2","Mp. Arismendi, Mp. Garcia, Mp. Maneiro, Mp. Mariño","Nueva Esparta","Antonio Alberto Aranguren Castillo","no imposibilitado",""
"49","Jesus Antonio Abreu","http://www.asambleanacional.gob.ve/avatares/jesus-antonio-abreu-58.jpg","Principal","MUD","VP","1","Dirección Pq. Sucre, Pq. El Junquito, Pq. La Pastora","Distrito Capital","Nafir Coromoto Morales Alvarez","no imposibilitado",""
"50","Jorge Alberto Millan Torrealba","http://www.asambleanacional.gob.ve/avatares/jorge-alberto-millan-torrealba-57.jpg","Principal","MUD","PJ","2","Pq. 23 De Enero, Pq. Catedral, Pq. San Juan, Pq. Santa Teresa, Pq. Altagracia","Distrito Capital","Auristela Vásquez De Castillo","no imposibilitado",""
"51","José Gregorio Noriega Figueroa","http://www.asambleanacional.gob.ve/avatares/jose-gregorio-noriega-figueroa-133.jpg","Principal","MUD","idependiente","3","Sucre, Mp. Bolivar, Mp. Mejia, Mp. Montes","Sucre","Jose Leonardo Regnault Hernandez","no imposibilitado","no imposibilitado"
"52","José Manuel Olivares Marquina","http://www.asambleanacional.gob.ve/avatares/jose-manuel-olivares-marquina-311.jpg","Principal","MUD","PJ","lista","undefined","Vargas","Ana Mercedes Aponte Merchan","exilio","no imposibilitado"
"53","Jose Brito Rodriguez","http://www.asambleanacional.gob.ve/avatares/jose-brito-rodriguez-172.jpg","Principal","MUD","PJ","1","Mp. Freites, Mp. Guanipa, Mp. Independencia, Mp. Miranda, Mp. Monagas, Mp. Simon Rodriguez","Anzoátegui","Marco Aurelio Quinonez Gómez","no imposibilitado","no imposibilitado"
"54","Jose Angel Guerra Brito","http://www.asambleanacional.gob.ve/avatares/jose-angel-guerra-brito-54.jpg","Principal","MUD","PJ","4","Pq. El Valle, Pq. Coche, Pq. Santa Rosalia","Distrito Capital","Rosalio Ismael León Luque","asilo","no imposibilitado"
"55","Jose Antonio Espana Marquez","http://www.asambleanacional.gob.ve/avatares/jose-antonio-espanacutea-marquez-45.jpg","Principal","CONCERTACION","CMC","1","Tucupita, Mp. Pedernales","Delta Amacuro","Larissa González Martínez","no imposibilitado",""
"56","Jose Benilde Trujillo Vera","http://www.asambleanacional.gob.ve/avatares/jose-benilde-trujillo-vera-23.jpg","Principal","MUD","AD","1","Ce. Girardot, Mp. Mario B Iragorry, Mp.ocumare D L Costa","Aragua","Adriana Pichardo Bello","no imposibilitado","no imposibilitado"
"57","Jose Gregorio Aparicio Figueroa","http://www.asambleanacional.gob.ve/avatares/jose-gregorio-aparicio-figueroa-257.jpg","Principal","CONCERTACION","CMC","lista","undefined","Monagas","Dignora Antonia Hernandez Castro","no imposibilitado","no imposibilitado"
"58","Jose Leonardo Prat Quevedo","http://www.asambleanacional.gob.ve/avatares/jose-leonardo-prat-quevedo-242.jpg","Principal","MUD","LCR","2","Pq. Simon Bolivar, Pq. Pozo Verde, Pq. Once De Abril, Pq. Vista Al Sol, Pq. Chirica, Pq. Dalla Costa","Bolívar","Jose Rafael Hernandez","no imposibilitado","no imposibilitado"
"59","Jose Luis Pirela Romero","http://www.asambleanacional.gob.ve/avatares/jose-luis-pirela-romero-209.jpg","Principal","16-J","idependiente","9","Pq. Marcial Hernandez, Pq. Francisco Ochoa, Pq. San Francisco, Pq. El Bajo, Pq. Domitila Flores, Pq.","Zulia","Mary Grace Alvarez Marquez","no imposibilitado","no imposibilitado"
"60","Jose Simón Calzadilla Peraza","http://www.asambleanacional.gob.ve/avatares/jose-simon-calzadilla-peraza-18.jpg","Principal","MUD","MPV","4","Mp. Camatagua, Mp. San Casimiro, Mp. San Sebastian, Mp. Sucre, Mp. Urdaneta, Mp. Zamora","Aragua","Liz Carolina Jaramillo De Miranda","exilio","no imposibilitado"
"61","Juan Carlos Velazco Quintero","http://www.asambleanacional.gob.ve/avatares/juan-carlos-velazco-quintero-204.jpg","Principal","MUD","AD","11","Mp. Baralt, Mp. Simon Bolivar, Mp.valmore Rodriguez, Pq. Eleazar Lopez C, Pq. Alonso De Ojeda, Pq. V","Zulia","Angel Rafael Caridad Gonsalez","no imposibilitado",""
"62","Juan Carlos Requesens Martinez","http://www.asambleanacional.gob.ve/avatares/juan-carlos-requesens-martinez-8.jpg","Principal","MUD","PJ","4","Mp. Cardenas, Mp. Cordoba, Mp. Fernandez Feo, Mp. Libertador, Mp. Torbes","Tachira","Karin De Los Angeles Vera Suarez","detenido","no imposibilitado"
"63","Juan Gerardo Guaido Marquez","http://www.asambleanacional.gob.ve/avatares/juan-gerardo-guaido-marquez-312.jpg","Principal","MUD","VP","1","Municipio Vargas","Vargas","César Leonardo Alonso Cardozo","no imposibilitado",""
"64","Juan Javiel Garcia Manaure","http://www.asambleanacional.gob.ve/avatares/juan-javiel-garcia-manaure-231.jpg","Principal","MUD","PJ","4","Mp. Acosta, Mp. Cacique Manaure, Mp. Colina, Mp. Jacura, Mp. Mons. Iturriza, Mp. Palma Sola, Mp. Pir","Falcón","Ricardo Ernesto Aponte Villarroel","no imposibilitado","no imposibilitado"
"65","Juan Miguel Matheus Fernandez","http://www.asambleanacional.gob.ve/avatares/juan-miguel-matheus-fernandez-80.jpg","Principal","MUD","PJ","lista","undefined","Carabobo","Deyalitza Aray","no imposibilitado","no imposibilitado"
"66","Juan Pablo Guanipa Villalobos","http://www.asambleanacional.gob.ve/avatares/juan-pablo-guanipa-villalobos-227.jpg","Principal","MUD","PJ","7","Pq. Cacique Mara, Pq. Cecilio Acosta, Pq. Cristo De Aranza","Zulia","José Alberto Sánchez Montiel","no imposibilitado",""
"67","Juan Pablo García Canales","http://www.asambleanacional.gob.ve/avatares/juan-pablo-garcia-canales-258.jpg","Principal","16-J","VV","1","Mp. Libertador, Mp. Sotillo, Mp. Uracoa, Pq. El Furrial, Pq. San Simon, Pq. Jusepin, Pq. El Corozo,","Monagas","Carlos Alberto Bastardo Campos","no imposibilitado","no imposibilitado"
"68","Julio Andres Borges Junyent","http://www.asambleanacional.gob.ve/avatares/julio-andres-borges-junyent-111.jpg","Principal","MUD","PJ","lista","undefined","Miranda","Manuela Bolivar Rivas","exilio","no imposibilitado"
"69","Julio Cesar Reyes","http://www.asambleanacional.gob.ve/avatares/julio-cesar-reyes-288.jpg","Principal","CONCERTACION","AP","lista","undefined","Barinas","Pablo Francisco Moronta Meza","no imposibilitado",""
"70","Karin Arieta Salanova Rueda","http://www.asambleanacional.gob.ve/avatares/karin-arieta-salanova-rueda-21.jpg","Principal","MUD","VP","3","Mp. Bolivar, Mp. Jose Felix Rivas, Mp. Jose R Revenga, Mp. Santos Michelena, Mp. Tovar","Aragua","Freddy Omar Castellanos Navarro","no imposibilitado",""
"71","Luis Florido Barreto","http://www.asambleanacional.gob.ve/avatares/luis-florido-barreto-94.jpg","Principal","MUD","idependiente","1","Pq. Juarez, Pq. La Concepcion, Pq. Union, Pq. El Cuji, Pq. Tamaca, Pq. Juan De Villegas, Pq. Aguedo","Lara","Angel Eduardo Torres Morillo","exilio","no imposibilitado"
"72","Luis Stefanelli Barjacoba","http://www.asambleanacional.gob.ve/avatares/luis-stefanelli-barjacoba-228.jpg","Principal","MUD","VP","2","Mp. Carirubana, Mp. Los Taques","Falcón","Kerrins Jose Marvarez Medina","no imposibilitado",""
"73","Luis Alberto Silva Alacayo","http://www.asambleanacional.gob.ve/avatares/luis-alberto-silva-alacayo-240.jpg","Principal","MUD","AD","1","Ce. Heres, Mp. Cede#o, Mp. Sucre","Bolívar","Antonio Gustavo Geara Perez","no imposibilitado",""
"74","Luis Aquiles Moreno Cirimele","http://www.asambleanacional.gob.ve/avatares/luis-aquiles-moreno-cirimele-110.jpg","Principal","MUD","AD","lista","undefined","Miranda","Franco Manuel Casella Lovaton","no imposibilitado","exilio"
"75","Luis Carlos Padilla Villalba","http://www.asambleanacional.gob.ve/avatares/luis-carlos-padilla-villalba-174.jpg","Principal","MUD","AD","lista","undefined","Anzoátegui","Eudoro Antonio González Dellan","no imposibilitado",""
"76","Luis Eduardo Parra Rivero","http://www.asambleanacional.gob.ve/avatares/luis-eduardo-parra-rivero-268.jpg","Principal","MUD","PJ","2","Mp. Aristides Bastid, Mp. Bolivar, Mp. Cocorote, Mp. Independencia, Mp. La Trinidad, Mp. Sucre","Yaracuy","Ramón Eduardo Flores Carrillo","no imposibilitado","no imposibilitado"
